"Original Text","ChatGPT","DeepL","Google","Comments","Initial choice","First editing pass","Proofreading"
"EV001","","","","","","",""
"EV003","","","","","","",""
"EV004","","","","","","",""
"ツクモ","","","","","","",""
"ほし","","","","","","",""
"EV006","","","","","","",""
"EV007","","","","","","",""
"EV008","","","","","","",""
"...!","","","","","","",""
"......","","","","","","",""
"ツクモ博士？","Dr. Tsukumo?","Dr. Tsukumo?","Doctor Tsukumo?","","Dr. Tsukumo?","Dr. Tsukumo?",""
"ああ、やぁ・・・。","Oh, hey...","Oh, yah...","oh hi...","","Oh, hey...","Oh, hey...",""
"・・・調べものですか？","...Are you doing some research?","...research?","…Do you want to find out?","","...Are you doing some research?","...Are you doing research?",""
"え？

えっと、ああ・・・","Huh? 

Um, um...","Huh?

Uh... Oh...","picture?

Um, oh...","","Huh? 

Um, um...","Huh? 

Um, um...",""
"ちょっと気分転換にね・・・

仕事とは別件なのだが・・・。","Just for a change of mood... 

 It's a separate matter from work though...","Just for a change...

It's not about work...","Change your mind a little...

It's a different matter than work...","","Just for a change of mood... 

 It's a separate matter from work
though...","Just for a change of mood... 

It's a separate matter from work
though...",""
"そうだ・・・

お弟子君。","That's right... 

My disciple.","Yes...

Disciple.","That's it···

disciple.","","That's right... 

My disciple.","That's right... 

My disciple.",""
"少し見てもらいたいモノがある。","There is something I want you to take a look at.","I have a few things I'd like to show you.","There is something I would like you to see.","","There is something I want you to take a
look at.","There is something I want you to take a
look at.",""
"君は、その・・・

これまでの事で・・・","You... 

What has happened until now...","You know, you've...

After all we've been through...","you are that...

So far...","unsure about this","You... 

What has happened until now...","You know, I've...

I've been thinking about...",""
"異文化の妖魔についても・・・

詳しくなったんじゃない？","About the yokai of different cultures... 

 Haven't you become more knowledgeable?","And about demons from other cultures...

I think you've learned a lot, haven't you?","As for demons from different cultures...

Aren't you more knowledgeable?","","About the yokai of different cultures... 

Haven't you become more knowledgeable?","About the yokai of different cultures... 

Haven't you become more knowledgeable 
about them?",""
"そんなキミの意見を聞きたいんだ。

これについて・・・。","I want to hear your opinion about it. 

About this....","I'd like to hear your opinion on this.

About this...","I want to hear your opinion on that.

about this···.","","I want to hear your opinion about it. 

About this....","I want to hear your opinion. 

About this....",""
"What's this?","What is this?","What's this?","What's this?","","What is this?","What is this?",""
"絵巻・・・？","Scroll painting...?","Emaki...?","Picture scroll...?","","Scroll painting...?","Scroll painting...?",""
"・・・どうも・・・

中身は日本のものとは思えませんが・・・","...Thank you...

Although it doesn't seem like something from Japan...","...thanks...

I don't think what's inside is Japanese...","···thx···

I don't think the contents are Japanese, but...","","...Thank you...

Although it doesn't seem like something
from Japan...","...Thank you...

Although it doesn't seem like something
from Japan...",""
"鋭いね。","Sharp, isn't it?","That's sharp.","Sharp.","","Detailed, isn't it?","Sharp and detailed, isn't it?",""
"異国の商人から買い付けた・・・

出処不明の絵図だ。","I obtained it from a foreign merchant... 

It's an unidentified map.","Bought from an exotic merchant...

It is a drawing of unknown provenance.","Bought from a foreign merchant...

A drawing of unknown origin.","","I obtained it from a foreign merchant... 

It's an unidentified map.","I obtained it from a foreign merchant... 

A drawing of unknown origin.",""
"不思議な姿の女性が・・・

描かれている・・・。","A mysterious woman with a strange appearance...

is being depicted...","A woman with a mysterious figure ...

Depicted...","A woman with a mysterious figure ...

Depicted...","","A mysterious woman with a strange
appearance is depicted...","A mysterious woman with a strange
appearance is depicted...",""
"・・・人間には見えません・・・

妖魔・・・？","...Humans can't see it... 

A supernatural being...?","

A demon...?","...invisible to humans...

Youma...?","","...Doesn't look to be a human... 

A demon...?","...Doesn't look to be a human... 

A yokai...?",""
"Hmm.","Hmm.","Hmm.","Hmm.","","Hmm.","Hmm.",""
"これを売った商人は・・・

描かれている彼女の事を・・・","The merchant who sold this...

is talking about her...","The merchant who sold this...

The one depicted in the painting...","The merchant who sold this...

About her pictured...","","The merchant who sold me this...

said this about her...","The merchant who sold me this painting...

Said this about her...",""
"「\c[3]魔物\c[0]」・・・

そう呼んでいた。","""\c[3]Monsters\c[0]"" ... That's what they were called.

""","""\c[3], demon \c[0]."" ...

That's what we called it.","""\c[3] Monster \c[0]""...

That's what I called it.","","""\c[3]Monsters\c[0]"" ... That's what they
were called.
","""\c[3]Monsters\c[0]"" ... That's what they
were called.
",""
"魔物・・・はぁ・・・

妖魔でなく、魔物・・・。","Monsters... haa... 

Not demons, but monsters...","Monsters... haa... 

Not youkai, but monsters...","Monsters... Ha...

It's not a demon, it's a monster...","","Monsters... haa... 

Not demons, but monsters...","Monsters... haa... 

Not yokai, but monsters...",""
"ねぇねぇ。

君はこの娘のこと、知らない？","Hey, hey. 

Do you know about this girl?","Hey, hey.

You don't know this girl?","Hey hey

don't you know about this girl?","","Hey, hey. 

Do you know this girl?","Hey, hey. 

Do you know this girl?",""
"すごく可愛いじゃない・・・

ぬるぬるで、いやらしくて・・・！","Isn't it incredibly cute... 

 It's slimy and lewd...!","Isn't she incredibly cute... 

She's slimy and lewd...!","Isn't she so cute...

It's slimy and disgusting...!","","Isn't she incredibly cute... 

She's slimy and lewd...!","Isn't she incredibly cute... 

She's slimy and lewd...!",""
"どこの国の妖魔か知れたら・・・

是非、会いに行きたいなー！","If I knew which country the demon was from...

I would definitely want to go meet them!","If I knew what country the demon was from...

I would love to go see him!","If I knew which country the monster was from...

I want to go see you!","","If I knew which country the monster was
from...

I would definitely want to go meet them!","If I knew which country the monster was
from...

I would definitely want to go meet them!",""
"残念ですが、私には分かりませんよ。","Unfortunately, I don't know either.","I'm sorry, but I don't understand.","I'm sorry, but I don't know.","","Unfortunately, I don't know either.","Unfortunately, I don't know either.",""
"ふーん・・・

そうか。","Hmmm... 

I see.","Hmmm... 

I see.","","","Hmmm... 

I see.","Hmmm... 

I see.",""
"最近増えた、仲間たちにも・・・

同じことを聞いたが・・・","Recently, even the newly joined comrades... 

asked me the same thing...","I've heard the same thing from a few of my more recent associates...

I've heard the same thing...","To my friends who have recently increased...

I heard the same...","I assume she's talking about all the new yokai who joined over time","Recently, even the newly joined
associates... 

asked me the same thing...","Recently, even our newly joined
friends... 

Asked me the same thing...",""
"誰も、知らないようだ。","No one seems to know.","No one seems to know.","nobody seems to know.","","No one seems to know.","No one seems to know.",""
"もしかしたら・・・

この絵図にある妖魔・・・","Maybe... 

 the youkai mentioned in this diagram...","Maybe...

The demons in this drawing...","Maybe...

The monster in this drawing...","","Maybe...

The monster in this drawing...","Maybe... 

The monster shown on this picture...",""
"こことは別世界の存在なのかも・・・

なんてね。","Maybe this is a existence of a different world... 

Just kidding.","Maybe they exist in a different world than here...

What a surprise.","Maybe it's in another world...

Oh my God","second sentence is unclear, either ""oh my god"" or ""just kidding""","Maybe she's from another world... 

Just kidding.","Maybe she's from another world... 

Just kidding.",""
"別世界の・・・妖魔？","Another world's... Yokai?","The otherworldly... demons?","A monster from another world?","either ""monster"" or ""yokai"" here, Tsukomo said she's a monster but not sure if Hakunen caught on
","A different world... Yokai?","A different world... yokai?",""
"...Hmm...","...Hmm...","...Hmm...","...Hmm...","","...Hmm...","...Hmm...",""
"（本当に不思議な姿だ・・・）","(What a truly mysterious figure...)","(What a truly mysterious figure...)","(It's really strange...)","","(What a truly mysterious figure...)","(What a truly mysterious figure...)",""
"（彼女は、一体・・・）","(She... what on earth...)","(She... what on earth...)","(She is...)","","(She... what on earth...)","(She... what on earth...)",""
"\{祭りの季節だッ！！\}","\{It's festival season!!\}","It's the season of the \{ festival!\}","It's \{ festival season! ! \}","","\{It's event time!!\}","\{It's event time!!\}",""
"三枚のおふだ・・・

なんと、なんと・・・！","Three talismans... 

Oh my, oh my...!","The Three Charms... 

Oh my, oh my...!","Three tags...

What, what...!","","The Three Charms... 

Oh my, oh my...!","The Three Charms... 

Oh my, oh my...!",""
"\c[3]もんむす・くえすと!　ぱらどっくすRPG\c[0]

コラボ企画にジョインするぜ！！","\c[3]Monster Musume Quest! Paradocks RPG\c[0]

Join the collaboration project!!","\c[3]Monster Girl Quest! Paradox
RPG\c[0]
Join the collaboration project!!
Join the collaboration project!!","\c[3] Mon Musu Quest! Paradox RPG\c[0]

Let's join the collaboration project! !","","\c[3]Monster Girl Quest! Paradox
RPG\c[0]

Join the collaboration project!!","\c[3]Monster Girl Quest! Paradox
RPG\c[0]

Join the collaboration project!!",""
"今作のアップデートでも・・・

コラボイベントなど追加予定！","Even in this update...

Collaboration events and more will be added!","Even with this update...

Collaboration events and other events will be added!","Even with this update...

More collaboration events will be added!","","In this update...

Collaboration events and more will be
added!","In this update...

Collaboration events and more will be
added!",""
"乞うご期待～！

  \}       \c[4]モンスター娘イラスト・健康クロス様\c[0]\{","Look forward to it! 

  \}       \c[4]Monster girl illustrations by Kenko Cross-sama \c[0]\{","Look forward to it! 

  \}       \c[4]Monster girl
illustrations by Kenkou Cross \c[0]\{","Stay tuned~!

  \} \c[4]Monster girl illustration/health cloth \c[0]\{","","Look forward to it! 

  \}       \c[4]Monster girl
illustrations by Kenko Cross \c[0]\{","Look forward to it! 

  \}       \c[4]Monster girl
illustrations by Kenkou Cross \c[0]\{",""
