"Original Text","ChatGPT","DeepL","Google","Comments","Initial choice","First editing pass","Proofreading"
"EV002","","","","","","",""
"EV003","","","","","","",""
"EV004","","","","","","",""
"EV005","","","","","","",""
"EV006","","","","","","",""
"EV007","","","","","","",""
"EV009","","","","","","",""
"EV010","","","","","","",""
"EV011","","","","","","",""
"EV012","","","","","","",""
"EV013","","","","","","",""
"EV014","","","","","","",""
"EV015","","","","","","",""
"EV016","","","","","","",""
"EV017","","","","","","",""
"EV018","","","","","","",""
"EV008","","","","","","",""
"EV020","","","","","","",""
"EV021","","","","","","",""
"EV001","","","","","","",""
"EV022","","","","","","",""
"EV023","","","","","","",""
"石像右","","","","","","",""
"EV025","","","","","","",""
"EV026","","","","","","",""
"EV027","","","","","","",""
"EV029","","","","","","",""
"EV019","","","","","","",""
"EV030","","","","","","",""
"EV031","","","","","","",""
"EV032","","","","","","",""
"EV033","","","","","","",""
"EV034","","","","","","",""
"EV035","","","","","","",""
"EV036","","","","","","",""
"EV037","","","","","","",""
"EV038","","","","","","",""
"EV039","","","","","","",""
"EV040","","","","","","",""
"EV041","","","","","","",""
"EV042","","","","","","",""
"EV043","","","","","","",""
"EV044","","","","","","",""
"EV045","","","","","","",""
"EV046","","","","","","",""
"EV047","","","","","","",""
"EV048","","","","","","",""
"EV049","","","","","","",""
"EV050","","","","","","",""
"EV051","","","","","","",""
"EV053","","","","","","",""
"花狐","","","","","","",""
"EV052","","","","","","",""
"スゲー音！

まほろば山に大異変！？","Amazing sound! 

A major incident at Mahoroba Mountain!?","Amazing sound!

Something's happened to Mt. Mahoroba!","Awesome sound!

A big change in Mt. Mahoroba! ?","first line is weird, probably something regarding the loud noise
","Awesome sound!

A major incident in Mahoroba Mountain!?","What a loud noise!

A major incident in Mahoroba Mountain!?",""
"今のうちに呑んどかねぇとな！","I gotta drink now while I can!","We've got to drink while we can!","Don't drink now!","","I gotta drink now while I can!","I gotta drink now while I can!",""
"スゲー音！

またしても緊急事態！？","Amazing sound! 

Another emergency situation again!?","Amazing sound!

Another emergency!","Awesome sound!

Another emergency! ?","","Awesome sound!

Another emergency situation again!?","What a loud noise!

Another emergency situation again!?",""
"一旦、呑んで落ち着かねぇとな！","Once I start drinking, I can't calm down!","We've got to drink and calm down!","For once, I have to drink and calm down!","","I gotta drink and calm down!","I gotta drink and calm down!",""
"あれ？

キミが慌ててここへ来たって事は・・・","Huh? 

So you came here in a hurry...","What is it?

If you came here in a hurry...","that?

The fact that you came here in a hurry is...","","Huh? 

So you came here in a hurry...","Huh? 

So you came here in a hurry...",""
"さっきの変な音は、酔ったウチの夢って
ワケじゃなかったのか・・・。","The strange sound I heard earlier wasn't just a drunken dream of mine...
.","That strange sound you heard earlier wasn't a drunken dream of mine.
I'm sure it wasn't a drunken dream....
.","That weird sound just now was a drunken dream
Wasn't that the reason...
.","","The strange sound I heard earlier wasn't 
just a drunken dream of mine...","The strange sound I heard earlier wasn't 
just a drunken dream of mine...",""
"妲己と戦った直後に、またか？","Right after fighting against Daji, again?","Right after you fought Jiaomi, again?","Immediately after fighting Daji, again?","","Right after fighting against Daji, again?","Right after fighting against Daji, again?",""
"キミ、今度は何と戦うんだ？

ドラゴンか？　神様か？","What are you going to fight against this time? 

A dragon? Or a god?","What are you fighting this time?
time? 
Dragons?　A god?
A dragon? Or a god?","Kimi, what are you going to fight this time?
time? 
Is it a dragon? ""God?""
A dragon? Or a god?","","What are you going to fight against this 
time? 

A dragon? Or a god?","What are you going to fight against this 
time? 

A dragon? Or a god?",""
"えらいこっちゃー！

また退魔師が攻めて来た！","What a mess! 

 The exorcist has come attacking again!","What a mess!

The demoness attacked again!","It's great!

The exorcist has attacked again!","","What a mess! 

The exorcist has come attacking again!","",""
"え？　違う？

なんだ～。","Huh? It's different? 

What is it~.","What?　No?

What is it~!","picture? different?

What is it~","","Huh? That's something else? 

What is it~.","Huh? That's something else? 

What is it.",""
"怖いよ怖いよ～！！","I'm scared, I'm scared~!!","I'm scared, scared~!","I'm scared, I'm scared! !","","I'm scared, I'm scared!!","I'm scared, I'm scared!!",""
"落ち着いてられないよ～！","I can't stay calm~!","I can't calm down!","I can't calm down!","","I can't calm down!","I can't calm down!",""
"なんか山がばたばたしてるけど・・・

何なの？","What's with the mountains rustling about... 

 What's going on?","There's something flapping in the mountains...
about... 
What is it?
 What's going on?","Somehow the mountains are flapping...
about... 
What's?
 What's going on?","","What's with the mountains rustling about... 

 What's going on?","What's with the mountain rustling 
about... 

What's going on?",""
"前に白羽さまが暴れた時を思い出しちゃった
よ・・・。","I couldn't help but remember when Shira-hime went on a rampage... 
...","It reminds me of when Shirou-sama went berserk before.
I'm so scared...
...","I remembered the time when Shiraha-sama was violent before
world···.
...","","I couldn't help but remember when Shira-hime went
on a rampage... 
...","It reminds me of when Shiraha-sama went
berserk. I'm so scared...",""
"こんばんは。

白念さま。","Good evening. 

Master Hakunen.","Good evening.

Shiranen-sama.","Good evening.

Mr. Shiranen.","","Good evening. 

Master Hakunen.","Good evening. 

Master Hakunen.",""
"先ほどの轟音・・・

当機も調査中です。","Just now, the deafening noise... 

We are also investigating this machine.","That roaring sound you just heard...

We are also investigating.","The noise from earlier...

We are also investigating.","unsure if Ashime here says ""we"" or ""I""","Just now, the deafening noise... 

We are also investigating this machine.","The deafening noise earlier...

We are also investigating this.",""
"何か分かりましたらご連絡下さい。","If you understand anything, please contact us.","Please let us know if you find out anything.
contact us.","Please let me know if you know anything.
contact us.","could ber ""contact me"" or ""contact us"", it's Ashime so could be either","If you understand anything, please contact us.","Please let us know if you find anything 
about it",""
"み、見たのよ～！！

あの音の正体！","I-I saw it~!! 

The true identity of that sound!","I saw it!

I know what that sound is!","I saw it! !

The true identity of that sound!","","I-I saw it~!! 

The true identity of that sound!","I-I saw it!! 

The real source of that sound!!",""
"円盤型の飛行物体が・・・

空から落ちてきたんだ！","A disc-shaped flying object... 

fell from the sky!","A flying saucer-shaped object...

It fell from the sky!","A disk-shaped flying object...

It fell from the sky!","","A disc-shaped flying object... 

fell from the sky!","A disc-shaped flying object... 

fell from the sky!",""
"中から頭のデカい小人が出てきて・・・

黒服の男たちに連れられていったんだ！","A big-headed dwarf came out from inside... 

and was taken away by men in black suits!","A big-headed dwarf came out of it...
inside... 
Men in black took him away!
and was taken away by men in black suits!","A dwarf with a big head came out from inside...
inside... 
I was taken by men in black!
and was taken away by men in black suits!","","A big-headed dwarf came out from inside... 

and was taken away by men in black suits!","A big-headed dwarf came out from inside... 

And was taken away by men in black suits!",""
"山が突然、バックリ開いて・・・

地下から鉄の巨人が・・・！","The mountain suddenly split open... 

 And a giant made of iron emerged from underground!","Suddenly, the mountain opens up.

An iron giant came from underground..!
underground!","The mountain suddenly opens up...

An iron giant from underground...!
underground!","","The mountain suddenly split open... 

 And a giant made of iron emerged from
underground!","The mountain suddenly split open... 

And a giant made of iron emerged from
underground!",""
"太古から続く儀式の失敗で・・・

ついに封印されていた魔物が・・・！","The demon that had been sealed away finally emerged due to the failure of an ancient ritual...!","The failure of an ancient ritual...
finally emerged due to the failure of an
At last, the sealed demons..!","Due to the failure of an ancient ritual...
finally emerged due to the failure of an
The monster that was finally sealed...!","might need a look at","The demon that had been sealed away 
finally emerged due to the failure 
of an ancient ritual...!","Due to the failure of an ancient 
ritual...

The sealed yokai has broke free!",""
