"Original Text","ChatGPT","DeepL","Google","Comments","Initial choice","First editing pass","Proofreading"
"EV002","","","","","","",""
"EV011","","","","","","",""
"EV016","","","","","","",""
"EV001","","","","","","",""
"EV006","","","","","","",""
"EV017","","","","","","",""
"EV014","","","","","","",""
"EV009","","","","","","",""
"EV028","","","","","","",""
"EV032","","","","","","",""
"EV045","","","","","","",""
"EV026","","","","","","",""
"EV036","","","","","","",""
"EV038","","","","","","",""
"EV046","","","","","","",""
"EV047","","","","","","",""
"EV048","","","","","","",""
"EV049","","","","","","",""
"EV050","","","","","","",""
"EV051","","","","","","",""
"EV052","","","","","","",""
"EV053","","","","","","",""
"EV054","","","","","","",""
"EV055","","","","","","",""
"EV056","","","","","","",""
"EV057","","","","","","",""
"EV058","","","","","","",""
"EV059","","","","","","",""
"EV060","","","","","","",""
"EV061","","","","","","",""
"EV062","","","","","","",""
"EV063","","","","","","",""
"EV064","","","","","","",""
"EV065","","","","","","",""
"EV066","","","","","","",""
"EV067","","","","","","",""
"EV068","","","","","","",""
"EV069","","","","","","",""
"EV070","","","","","","",""
"EV071","","","","","","",""
"EV072","","","","","","",""
"EV073","","","","","","",""
"EV074","","","","","","",""
"EV075","","","","","","",""
"EV076","","","","","","",""
"EV077","","","","","","",""
"EV078","","","","","","",""
"EV079","","","","","","",""
"EV080","","","","","","",""
"EV015","","","","","","",""
"EV018","","","","","","",""
"EV019","","","","","","",""
"EV020","","","","","","",""
"EV010","","","","","","",""
"EV007","","","","","","",""
"EV008","","","","","","",""
"EV022","","","","","","",""
"EV012","","","","","","",""
"EV023","","","","","","",""
"EV024","","","","","","",""
"EV029","","","","","","",""
"EV003","","","","","","",""
"EV004","","","","","","",""
"EV005","","","","","","",""
"EV013","","","","","","",""
"EV021","","","","","","",""
"EV025","","","","","","",""
"EV027","","","","","","",""
"EV030","","","","","","",""
"EV031","","","","","","",""
"EV033","","","","","","",""
"EV034","","","","","","",""
"EV035","","","","","","",""
"EV037","","","","","","",""
"EV039","","","","","","",""
"(The Trial of Spirits)

Ascetics who scale this stairway shall find
themselves molded into strong, capable, men.","","","","","","",""
"""Hakunen's House""","","","","","","",""
